episode_key,sequence_id,athlete_name,episode_id,path_signature,step_index,step_hidden_state,step_observed_feature,confidence
48::Лукашин И.П.::8::35,48::Лукашин И.П.,Лукашин И.П.,8,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::9::36,48::Лукашин И.П.,Лукашин И.П.,9,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::9::36,48::Лукашин И.П.,Лукашин И.П.,9,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::9::36,48::Лукашин И.П.,Лукашин И.П.,9,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::9::36,48::Лукашин И.П.,Лукашин И.П.,9,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::10::37,48::Лукашин И.П.,Лукашин И.П.,10,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::10::37,48::Лукашин И.П.,Лукашин И.П.,10,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::10::37,48::Лукашин И.П.,Лукашин И.П.,10,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::10::37,48::Лукашин И.П.,Лукашин И.П.,10,S1->S2->S3->O0,4,O,O0,1.0
48::Лукашин И.П.::11::38,48::Лукашин И.П.,Лукашин И.П.,11,S1->S2->S3->O0,1,S1,x_s1_ps=0.0000;x_s1_ls=0.0000;delta_t=0.0000,1.0
48::Лукашин И.П.::11::38,48::Лукашин И.П.,Лукашин И.П.,11,S1->S2->S3->O0,2,S2,captures=0.0000;holds=0.0000;wraps=0.0000;hooks=0.0000;posts=0.0000,1.0
48::Лукашин И.П.::11::38,48::Лукашин И.П.,Лукашин И.П.,11,S1->S2->S3->O0,3,S3,x_s3_vup=0.0000,1.0
48::Лукашин И.П.::11::38,48::Лукашин И.П.,Лукашин И.П.,11,S1->S2->S3->O0,4,O,O0,1.0
